hjd,camera,filter,mag,mag err,flux (mJy),flux err
2458136.75206,be,V,14.087,0.02463,8.893,0.202
2458125.74614,be,V,13.999,0.0239,9.644,0.212
2458187.74498,be,V,13.634,0.02206,13.505,0.274
2457951.55447,be,V,11.0,0.02,152.697,2.81
2457792.65732,be,V,13.927,0.02339,10.31,0.222
2458189.80844,be,V,13.602,0.02199,13.907,0.281
2458175.67609,be,V,13.945,0.02351,10.134,0.219
2458159.81174,be,V,14.127,0.025,8.571,0.197
2457853.76196,be,V,14.001,0.02392,9.627,0.212
2458197.79413,be,V,13.379,0.0219,17.071,0.344
2458151.67938,be,V,14.138,0.0251,8.487,0.196
2457823.58707,be,V,14.198,0.02571,8.031,0.19
2457534.71262,be,V,13.751,0.02245,12.125,0.25
2458228.8196,be,V,12.844,0.02,27.948,0.514
2458215.65287,be,V,13.017,0.02347,23.82,0.514
2458186.77632,be,V,13.676,0.02218,12.993,0.265
2457890.66103,be,V,12.907,0.02,26.368,0.485
2457821.57306,be,V,14.185,0.02558,8.124,0.191
2458211.76323,be,V,13.091,0.02295,22.259,0.47
2458139.74864,be,V,14.103,0.02477,8.764,0.2
2457783.72285,be,V,13.837,0.02285,11.196,0.235
2457760.85205,be,V,13.431,0.02185,16.279,0.327
2457448.60538,be,V,13.74,0.0224,12.246,0.252
2457914.46808,be,V,12.476,0.02,39.229,0.722
2457431.69983,be,V,13.332,0.02197,17.833,0.361
2458301.61587,be,V,10.289,0.02,293.912,5.408
2458080.85042,be,V,13.172,0.02251,20.657,0.428
2457846.79807,be,V,14.08,0.02457,8.949,0.202
2458345.47396,be,V,11.522,0.02,94.405,1.737
2458217.69873,be,V,13.003,0.02358,24.148,0.524
2458168.62705,be,V,14.041,0.02423,9.279,0.207
2457795.68281,be,V,13.971,0.02369,9.895,0.216
2458147.71876,be,V,14.174,0.02546,8.207,0.192
2457772.85488,be,V,13.652,0.02211,13.272,0.27
2457843.67153,be,V,14.123,0.02496,8.604,0.198
2457718.84517,be,V,12.075,0.02,56.762,1.044
2458334.50161,be,V,11.138,0.02,134.491,2.475
2458193.79096,be,V,13.49,0.02185,15.418,0.31
2458123.74982,be,V,13.981,0.02377,9.811,0.215
2457746.78151,be,V,13.048,0.02324,23.159,0.495
2457864.62112,be,V,13.783,0.02259,11.77,0.245
2457728.82808,be,V,12.481,0.02,39.046,0.718
2457478.72246,be,V,14.112,0.02486,8.691,0.199
2457441.6828,be,V,13.562,0.02192,14.422,0.291
